ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring
784;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;[] vertegenwoordiging van verschillende culturele achtergronden in de lesmateriaal zien.;Could the institution optimize the booking flow? It feels constantly unavailable or broken.;I wish there was a clearer system for booking appointments without so much back-and-forth.
785;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Honestly, more lecture time would greatly help with grasping the complex theories presented here.;Het gevoel dat we niet alleen zijn, [], vriendelijke ondersteuning.;I often struggle to schedule a slot that works for both of us.
786;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Maybe adding modules on global citizenship and social justice issues would be beneficial for the program.;Could the institution enforce a faster response time for academic mentors, please?;It would greatly help if there was a single point of contact for urgent student welfare issues.
787;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Kunnen we ergens feedback geven over [] tempo van [NAME] cijferopleving?;Ik hoop dat de organisatie de communicatie met mentoren stroomlijnt om sneller te reageren.;Perhaps having a group mentoring session once a month would be less stressful than one-on-one.
788;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;I wish the assessment criteria were more transparent so we knew exactly how to maximize our grades.;The teachers seemed disconnected from the actual industry applications we discussed in class.;De erkenning van kleine prestaties [], echt geweldig.
789;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Het is echt moeilijk om de docenten te bereiken voor vragen buiten collegeuren.;Honestly, having three different people means I never get to build a solid relationship with any single mentor.;Finding a support system among my peers was invaluable and helped my motivation increase significantly.
790;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Het is frustrerend dat [NAME] beoordelingen zo traag zijn, we moeten [] status is.;I wish we had more dedicated small-group sessions instead of these large lectures.;[] workshops over stressmanagement en mindfulness zouden worden georganiseerd.
791;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;De verhouding tussen theorie en praktijk voelt onevenwichtig vanwege te weinig lesuren.;Kunt u de reactietijd verbeteren? We hebben sneller antwoorden nodig voor tentamens.;Het is goed dat het onderwerp besproken wordt, maar de implementatie voelt te oppervlakkig.
792;2;2026/27;Venlo;Cyber Security;Part-time;Fourth-year;Kunnen we wat feedback geven over [NAME] grading? Het tempo is erg traag, echt.;It would be wonderful to have dedicated online student liaisons to address our specific needs.;[] met medestudenten vragen te stellen was een enorme pluspunt voor mij.
793;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;[] was [], [] was erg behapbaar en overzichtelijk.;[] ik [] over het beoordelingsbeleid. Dat is lastig.;It would be nice to have resources tailored for international students from various regions.
794;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;The instructors genuinely connected the theory to real-world industry scenarios, which I really appreciate.;It would be helpful if the mentors received better training on subject matter.;We need clearer communication on who is responsible for addressing student concerns promptly and effectively.
795;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;[] meer proactief zouden communiceren over [].;Het is lastig om te [] is als elk mentoren verschillende meningen geven.;Ik heb soms het gevoel dat emotionele ondersteuning nog niet voldoende is.
796;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Het curriculum wordt zo goed uitgelegd dat het direct aansluit bij wat ik in de toekomst nodig heb.;[] we nooit echt een mentor kunnen vasthouden vanwege de turnover.;Het gevoel van gemeenschap dat de netwerken creëerden, is echt geweldig voor studentenwelzijn.
797;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;I feel that the readings often lack perspectives from non-Western cultures, which is concerning.;I expected a much quicker response regarding the project guidelines, waiting is disruptive.;I wish there was a clearer process for escalating issues beyond the primary contact.
798;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Honestly, more dedicated time slots are needed for deeper discussion and Q&A sessions.;Het is geweldig dat de docenten [], ze wachten niet tot we vragen.;Het is lastig om te [], [].
799;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;[] met [], want de stof is echt te [].;I found the response time from the assigned mentor highly problematic and slow.;Please ensure that student complaints are logged and addressed without unnecessary delays.
800;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;My main issue is the lack of clear response times, waiting days for an email is extremely inefficient.;I think more tailored mentoring would significantly improve my understanding of the course material.;[].
801;1;2026/27;Eindhoven;Software Engineering;Part-time;First-year;Ik heb het gevoel dat we meer begeleiding nodig hebben om de gemiste stof in te halen.;Ik moet sneller [] met mijn project, de reactietijd is echt te lang.;Zouden we meer feedback kunnen krijgen over onze zwakste punten, in plaats van alleen een algehele beoordeling?
802;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;The delay in receiving grades from [NAME] makes it hard to know where we stand with the material.;De open communicatie en de proactieve [] perfect [].;[] voordat er een reactie komt op mijn academische vragen, dat is stressvol.
803;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Het is moeilijk om goed te [] [].;Please provide clearer guidelines for the mentors regarding their specific topics.;Meer proactieve communicatie en sneller antwoord op geformuleerde bezorgdheden is gewenst.
804;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Ik hoop echt dat [NAME] de beoordeling [], want we zitten te wachten.;[] we een expert uit de sector konden betrekken voor een dagworkshop.;I wish there was a dedicated space or group for talking about mental health concerns.
805;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Het team geeft uitstekend inzicht in de nieuwste ontwikkelingen, [] waardevol is.;Kunnen de mentoren echt sneller reageren? Deze vertragingen zijn een groot [].;Better centralized communication methods are needed to improve our access to support.
806;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Ik vind het teleurstellend dat de contacturen te beperkt zijn voor een goed begrip van de stof.;We deserve consistent guidance, the rotating mentors make the curriculum feel disjointed.;Ik voelde me [] door de positieve feedback [] mentor.
807;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;I feel like I'm constantly chasing the professor for clarification on assignments.;[] mentor was fantastisch, [] al mijn vragen.;The consistent recognition of our hard work really boosted my confidence [].
808;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Ik wacht al te lang op feedback over mijn project, het is frustrerend.;Het voelt meer als een grote groep [], te weinig persoonlijke touch.;Het is fijn dat je niet alleen kijkt naar cijfers, [].
809;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;The assessment expectations changed halfway through the course, leaving us unprepared for grading.;De begeleiding is fantastisch, [] we [] ondersteuning krijgen.;Misschien een wekelijks Q&A sessie waar we onze gemelde problemen direct kunnen bespreken?
810;2;2026/27;Tilburg;HBO-ICT;Part-time;Second-year;Ik begreep niet wat de beoordelingscriteria waren voor dit project, het was te vaag.;I think more structured sessions or mandatory follow-ups are needed for quality control.;Overall, the academic guidance has been excellent and highly supportive of my goals.
811;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;[NAME] needs to improve the communication regarding grade release dates.;I feel like my learning is being interrupted by the frequent rotation of instructors.;My mentor was great at connecting me with industry professionals for networking.
812;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Het curriculum is enorm compleet, ik krijg een brede en diepgaande kijk op het onderwerp.;[] we meer persoonlijke interactie konden krijgen tijdens de collegeuren.;Ik hoop op meer respectvolle aanpak van culturele verschillen in de dagelijkse interacties.
813;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;De diepgang van de stof is echt indrukwekkend en de docenten [] heel begrijpelijk.;It feels like there's a serious delay in getting necessary advice from the course faculty members.;[] me concrete vaardigheden die ik direct in de arbeidsmarkt [].
814;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Wat is de reden voor de trage grading van [NAME]? [] planning.;I appreciate the support, but I think clearer guidelines for the mentors are urgently required.;Having those informal chats with classmates was really helpful for navigating the curriculum and making friends.
815;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;The expectations regarding critical analysis feel quite ambiguous to the students.;[], dit is [].;Having a strong support system among students greatly improved my overall university experience.
816;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;The course feels rushed, we desperately need additional practical sessions to solidify these concepts.;Alleen de mentor zelf is super, maar de cursus zou meer algemene studietechnieken moeten aanbieden die [] mentor.;Ik merk dat de beschikbaarheid van de mentoren soms lastig is, meer roosterplanning zou helpen.
817;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;I am really frustrated with the grading process, [NAME] is grading so slowly.;Ik denk dat de feedback over de docenten erg vaag is en meer specifiek hoort te zijn.;Kunnen we meer groepsgesprekken organiseren over het omgaan met [] tijdens het studeren?
818;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;The communication regarding assignments was really vague and slow, making it hard to keep up.;We need more prompt support, waiting [] for a simple reply is unacceptable.;Het gevoel van waardering is [], en ik voel me [].
819;2;2026/27;Den Bosh;ICT & Business;Part-time;Third-year;[] lesstof over queer theory en genderstudies toe te voegen [].;Het is moeilijk om vragen te stellen omdat de aandacht te vaak verdeeld lijkt te zijn.;I really appreciate the resources provided for job searching and professional networking skills.
820;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;[] is te vaag en maakt het moeilijk om te verbeteren.;Wij zouden meer praktische casestudy's van echte bedrijven willen zien in de lessen.;[]helpdesk' was voor acute studiegerelateerde knelpunten.
821;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Ik hoop dat toekomstige programma's meer aandacht besteden [] in de analyses.;[].;[] we pas gebeld worden als er [].
822;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;I wish there was a more structured way to get help, the teachers are almost unreachable.;Honestly, the lack of timely response from mentors is making us feel unsupported.;I wish the check-ins were more systematic, maybe every two weeks minimum.
823;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Teachers are almost impossible to reach outside of class time, which is frustrating.;[] [] in [], geschreven slides.;De psychologische ondersteuning was geweldig, [] had [] op stressmanagement gehoopt.
824;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;We hebben meer directe en duidelijke communicatie nodig over de veranderingen in het cursusplan, alstublieft.;I really wish there was more dedicated one-on-one time with the instructors to discuss complex topics.;Het beleid rondom feestdagen en culturele [] is [] uniform.
825;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;De beoordeling van [NAME] kost te veel tijd, waardoor [].;[] gastsprekers uit de industrie zouden komen, dat helpt enorm.;Could we please have more frequent, yet still helpful, check-ins to keep us on track?
826;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;I feel like the teachers are often unresponsive to student inquiries regarding course materials.;Ik vind het echt moeilijk om bij te blijven met [], [] is te veel.;Het is geweldig dat de cursus rekening houdt met verschillende feestdagen en culturele tradities.
827;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;[] [NAME] feedback zo [] gegeven? [] is echt nodig.;Het is lastig om suggesties te geven zonder meer directe, persoonlijke interactie met de docenten.;Het netwerk evenement gaf me contacten die cruciaal [].
828;2;2026/27;Venlo;Artificial Intelligence;Part-time;Fourth-year;The teachers do a wonderful job of keeping the content relevant to modern industry practices.;De constante wijzigingen in de begeleiding maken het bijna onmogelijk [] diepgang te bereiken.;Meer aandacht voor slaaphygiëne en de impact van academische stress op het welzijn.
829;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;De docenten zijn te weinig beschikbaar, we hebben meer begeleiding nodig om goed te studeren.;[] is [] studiejaar.;[] met [], misschien wekelijks, informeel contact.
830;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Ik waardeer de enthousiasme, maar de theorieën worden soms te abstract [] concrete koppeling.;De responstijd van de begeleiders is [], [].;Het gebrek aan directe feedback over [] is erg demotiverend voor mij.
831;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Ik voel me [] door de beperkte uren.;Could the institution establish a clear SLA for mentor email replies? Please improve it.;Deze workshops over salarisonderhandelingen waren echt cruciaal en boden veel nieuwe kennis.
832;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;It feels like [NAME] deliberately delays grades, which is incredibly demoralizing for the students.;[] altijd beschikbaar zijn, zowel online als in persoon, echt makkelijk.;The career fair provided excellent exposure to diverse industries and job paths.
833;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;De hoeveelheid lessen voelt onvoldoende voor het grondig begrijpen [].;De studentenmentoren zijn echt geweldig, [] met de moeilijke vakstof.;Ik waardeer de tijd die u nam om mijn carrièreoriëntatie [], dat was [].
834;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Seriously, the assignment load is too much, I spend all my time just catching up.;Perhaps setting clearer expectations on response times would help greatly.;[] mentor [] mentor []?
835;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;The professors explain complex topics with remarkable clarity and enthusiasm.;De mentor [] dat ik echt twijfel [] betrokkenheid bij de studenten.;Ik waardeer de hulp, [] georiënteerd.
836;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Het rooster is [] [] we nooit echt kunnen inhalen.;Seriously, the constant change in mentors makes it really hard to build a consistent understanding.;Super bedankt voor de complimenten, het geeft echt een extra boost om verder te komen.
837;2;2026/27;Eindhoven;Cyber Security;Part-time;First-year;Het is onrealistisch om zo veel ingewikkelde taken binnen de gestelde week te krijgen.;[] leert en de online studenten compleet over het hoofd zien.;It's great that I feel included, yet I often encounter cultural blind spots in the curriculum.
838;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Please incorporate more viewpoints from [NAME] and [NAME] thought into the core texts.;Ik vind het lastig om met [] wisselende mensen een goed ritme te houden.;Het netwerk met medestudenten was erg nuttig, en het gevoel van ondersteuning was onmisbaar voor mij.
839;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Smith's grading process is far too slow, we really need a more efficient turnaround time, honestly.;Het is erg onduidelijk hoe [] moet reserveren, de interface is [].;We really need more accessible drop-in sessions, not just scheduled appointments.
840;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Ik verwachtte meer uren om de vaardigheden voldoende te kunnen oefenen en beheersen.;[] teleurstelling over de reactiesnelheid, ik moet sneller geholpen worden.;[] waarderen van de aanmoediging, [].
841;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Het programma is zo grondig en modern, waardoor [] [].;De wachttijden zijn te lang en het maakt het moeilijk om op schema te blijven.;The peer mentorship aspect really helped me feel more integrated into the campus life.
842;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Could the institution look into [NAME]'s marking process? We are waiting too long for feedback.;I wish the mentor training included more conflict resolution skills for everyone.;More explicit rubrics for projects would really help us understand expectations better.
843;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Seriously, the delays from [NAME] are unbelievable, it makes planning impossible for students.;De wisselende mentoren zijn erg desoriënterend en vermindert de kwaliteit van de begeleiding.;My mentor gave excellent advice on electives, it really helped me tailor my curriculum.
844;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;It feels like the teaching content is too broad for the available contact time, making us feel unprepared.;I love that the teaching staff is so attentive, they anticipate our struggles before we do.;The academic pathway advice was really helpful, I feel much clearer about my major now.
845;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;The professor is knowledgeable, but sometimes the lectures lack practical examples needed for real-world application.;Het is onaanvaardbaar dat we weken moeten wachten op een e-mailbevestiging over studiemateriaal.;[] sporadisch is, regelmatiger contact [].
846;2;2026/27;Tilburg;Software Engineering;Part-time;Second-year;The expectation setting is poor, leading to constant confusion about module requirements.;Het is fantastisch dat u ons de realiteit van de arbeidsmarkt laat zien.;Het is lastig om altijd een plek te vinden op de agenda van de huidige mentoren.
847;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Het is echt jammer dat er zo weinig [], we hebben meer behoefte.;Het gebrek [] begeleiding maakt de leerervaring zeer chaotisch en frustrerend.;Your positive reinforcement and recognition have genuinely helped me feel seen and valued.
848;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;It feels like we're only getting an overview, not the deep dive we require for mastery.;I wish the mentors responded more quickly, waiting [] for critical advice is highly disruptive.;[] diverse studiegroepen voor verschillende opleidingen waren.
849;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Smith's grading speed is seriously affecting my overall academic planning, echt frustrerend.;It would be helpful if the course allowed more opportunities for spontaneous discussion and deeper analysis.;De mentor was geweldig, [] ondersteuning voelde [].
850;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Could we have more structured summaries after every major topic to consolidate the knowledge?;Het is goed dat er een systeem is, maar ik verwacht een hoger niveau van deskundigheid van de student-mentoren.;Ik waardeer het enorm dat de staff ons keer op keer aanmoedigt bij onze doelen.
851;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Het is frustrerend dat de laatste handouts altijd achterlopen op de lessen.;Het is een enorme pluspunt dat [] met [].;Connecting with peers outside of class hours made the learning process more enjoyable.
852;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Meer directe en duidelijke communicatie [].;[] gericht is op individuele stijlen, niet algemeenheden.;[] opvolging te krijgen, elke twee weken zou echt helpen.
853;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;It feels like the teachers are too busy with research to actually help the students properly.;[] docent []?;I feel much more confident now about my career direction and future options.
854;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;De deadlines komen te snel, het is moeilijk om alle onderwerpen diepgaand te behandelen.;Graag meer tips over het opbouwen van een robuust professioneel netwerk.;[] kunnen zijn over hoe we feedback het beste kunnen omzetten in [].
855;2;2026/27;Den Bosh;HBO-ICT;Part-time;Third-year;Sometimes the lectures feel overwhelmingly academic and lack real-world context.;It would be helpful if the mentors were more consistently informed about program requirements.;Could we get at least a quick check-in after group projects, just to make sure we're on track?
856;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Could the instructors spend more time breaking down complex modules into smaller, digestible parts?;Zou de school kunnen faciliteren met meer gekoppelde stageplekken naar echte bedrijven?;I appreciate the supportive feedback and the recognition of our achievements [].
857;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;[] dat we meer sessies krijgen voor meer diepgang?;De responsiviteit van de begeleiders moet dringend [], [] is te traag.;De focus op academische druk is prima, maar emotionele veerkracht moet ook aandacht krijgen.
858;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Ik hoop dat er [] in hoe snel [NAME] beoordeelt en feedback geeft.;Het systeem geeft constant meldingen dat het vol is, zelfs als er theoretisch ruimte zou zijn.;It would be greatly appreciated if there was a clear timeline for addressing student complaints regarding resources.
859;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;[] [] met [] bronnen?;It would be beneficial to have smaller group settings for more personal feedback exchange.;Building connections outside of lectures made the whole university experience better.
860;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Can we talk about [NAME]'s grading timelines? The current pace is really hindering our studies and progress.;De ondersteuning voelt echt persoonlijk, [] [].;Their availability seems very limited, which makes consistent guidance nearly impossible.
861;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Kunnen we meer focus krijgen op de belangrijkste onderwerpen, en minder op de extra kleine opdrachten?;We need more dedicated check-ins that focus solely on our personal learning struggles.;De peer support netwerken waren erg waardevol, ik vond het fijn om met andere [].
862;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;We desperately require an increase in scheduled class time to keep up with the material.;Please fix the mentorship assignments, we need reliable guidance, not a revolving door.;The resources for various cultural backgrounds could definitely use more dedicated attention.
863;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Smith’s grading speed is really frustrating, we need a better timeline for our course feedback.;Het is verwarrend wanneer de instructies van de docenten niet overeenkomen met [].;Ik voel me [], wat heel fijn is.
864;2;2026/27;Venlo;ICT & Business;Part-time;Fourth-year;Ik had [] nodig over de verwachtingen van de uiteindelijke opdrachtbeoordeling.;[] [] zouden een enorm verschil maken in ons gevoel van verbondenheid.;De voorbereiding op sollicitatiegesprekken maakte het verschil, ik voelde me veel zelfverzekerder.
865;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;We really need better support for the digital infrastructure used in this program.;De supportstructuren lijken niet goed toegespitst op de unieke behoeften [].;Could the institution consider offering more group mentoring sessions? It might be less time-intensive.
866;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;De docenten stimuleren kritisch denken en laten ons complexe materie op een toegankelijke manier begrijpen.;De feedback is echt over de responstijd, ik heb weken gewacht op een antwoord over een klein onderzoek.;Community building is so important, and the workshops really made me feel part of the institution.
867;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Wij moeten betere communicatiekanalen hebben, want [] onbereikbaar.;The rotation of mentors makes it hard to track progress, maybe assign us one person for []?;[] met [], laagdrempelig check-in moment [].
868;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;[] we de werklast wat verlagen? Ik voel me constant overbelast met deadlines.;The current booking mechanism is needlessly complex and often fails when needed most.;I feel well supported by my advisor, but the general wellbeing resources could be more proactive.
869;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;The professors seem overwhelmed and are rarely available for personalized student guidance.;Het gebrek aan directe interactie maakt het moeilijk om specifieke vragen te stellen.;[] over de cursus niet echt worden opgevolgd, wat teleurstellend is.
870;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Ik hoop dat er [] in de beschikbaarheid van de docenten.;Super dat [] voordat je er zelf om vraagt, erg professioneel.;I feel that the focus should shift more towards proactive emotional resilience training.
871;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Could the instructors please provide clearer expectations regarding assignment submissions?;Getting contacted before I even realized I needed help was incredibly reassuring and timely.;[] sessies over het opbouwen van een persoonlijke merk in de industrie willen.
872;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;[] is te hoog, en er is te veel te leren tegelijkertijd.;Graag meer transparantie over de beschikbare slots, want de boeking is constant chaotisch.;Meer ondersteuning en directe toegang tot deskundig advies zou onze studiervaring [].
873;1;2026/27;Eindhoven;Artificial Intelligence;Part-time;First-year;I was really confused about the rubric for the final project, it felt arbitrary.;Miscommunicatie en vertraging zijn constant. De mentoren moeten sneller reageren.;Het is nuttig om te weten welke vaardigheden in de arbeidsmarkt het meest gevraagd zijn.
874;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Could we get some practical workshops on how to balance this extreme course load?;They seem passionate, [].;Het was fijn om te weten dat er [] was die [].
875;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;I wish the supplementary materials were uploaded by the agreed-upon deadline, please.;The mentor response time is unacceptable, I need timely guidance for my thesis.;Wat betreft diversiteit, meer voorlichting en begrip van andere culturen [].
876;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;I feel like the explanations jump too quickly, more stepwise guidance on complex calculations would be ideal.;Kunnen we meer docenten beschikbaar []? [] boekingssysteem is [].;De begeleiding bij mijn studievoortgang was echt waardevol en heel duidelijk.
877;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Can anyone tell me when [NAME] plans to finish marking these exams? It’s frustrating.;The support system feels very proactive, and the instructors are always ready to assist.;[] met [] check-ins, [] we in de loop van het semester afgeleid.
878;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;De lessen zijn zo diepgaand, het gevoel is dat we echt de materie begrijpen.;De beschikbaarheid van begeleiding is fantastisch, en de docenten [] bereikbaar.;[] helderheid over de volgende stappen na het afronden van dit project zou fijn zijn.
879;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;I think the curriculum is too [NAME] and could benefit from Indigenous knowledge systems.;The quality of support suffers when the attention is spread across too many students.;It would be great if there was an emergency contact or backup mentor when the main one is out.
880;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Smith's grades are perpetually delayed, please look into improving the turnaround time.;It feels like the instructors are just going through the motions and lack genuine enthusiasm.;I really need a quicker turnaround time when dealing with technical or enrollment issues.
881;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Smith's grading speed is unacceptable, we need clearer timelines for course feedback.;[] we meer industriële sprekers konden uitnodigen voor de vakken.;I appreciate the network event, it really helped me understand potential career paths outside academia.
882;2;2026/27;Tilburg;Cyber Security;Part-time;Second-year;We zouden het fijn vinden als [NAME] [] met [].;Honestly, the rapid turnover of mentors is making it hard to form strong academic relationships.;De communicatiekanalen zouden kunnen worden geoptimaliseerd om sneller advies te krijgen.
883;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;[], waardoor ik me onzeker voelde.;Ik voel me [] die verschillende docenten dit jaar, een vast punt zou beter zijn.;Het is fijn dat er zo’n toegankelijke en deskundige begeleiding beschikbaar is voor studenten.
884;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Could the department somehow improve teacher communication and response time for students?;[] slechts een algemene groepsboodschap is, geen persoonlijk advies.;De complimenten en de erkenning [] me een enorme mentale boost.
885;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Het is erg frustrerend dat [NAME] zo lang wacht met [] werk.;Generally, the support is appreciated, but the quality highly depends on the individual mentor's effort.;[], zodat we makkelijker kunnen praten over [].
886;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;De feedback over de tentamens was te vaag over [] [].;Ik verwachtte [], [] in [].;Could we look into establishing an open drop-in mentoring time slot []?
887;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;De uitleg was heel helder en makkelijk te volgen, [].;Meer interactieve projecten met lokale bedrijfsleven zouden de leerervaring versterken.;Could the professors offer more specific feedback on how to improve rather than just listing areas for improvement?
888;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;[] feedback geven over [] [NAME] bij beoordelen.;De wachttijd op feedback is [], dit vertraagt ons leren en de planning van onze hele studie.;The multicultural activities were nice, yet I wish there was deeper sensitivity to religious observances.
889;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;It feels like the teachers are physically present but mentally inaccessible to students.;Graag zouden we [] die specifiek ingaan op het navigeren door een hybride leeromgeving.;I really valued the open dialogue about potential career pivots and necessary skills.
890;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;We really need extra lab time, the current schedule doesn't allow deep enough exploration.;My professors are always available, their willingness to connect really enhances the learning process.;De groepenondersteuning gaf me het gevoel dat [] was in [] studies.
891;1;2026/27;Den Bosh;Software Engineering;Part-time;Third-year;Het is lastig om te weten wat ik moet doen omdat de uitleg vaag blijft.;More individualized attention would significantly improve my understanding of the subject matter.;Consistency in our check-ins would make such a noticeable positive difference.
892;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;[] is om alle vereiste taken goed uit te voeren.;Always struggling to find time due to the very unreliable scheduling platform.;It would be beneficial to incorporate global perspectives beyond the typical [] viewpoints.
893;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;We are struggling to plan our studies because Smith's grades are consistently late.;Het gebrek aan snelle feedback [] in mijn leerproces.;De cultuur is erg open, maar meer aandacht voor verschillende achtergronden zou helpen.
894;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Too many readings and projects simultaneously, my schedule is completely overloaded.;Please consider expanding support beyond scheduled classes to general study support.;Ik voelde me erg begrepen en gerespecteerd, en de ondersteuning was [] sensitief.
895;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;I wish [NAME] could grade us quicker, we are waiting for results that are desperately needed.;Seriously, the mentorship response time needs a massive overhaul, we are waiting ages.;Please continue offering workshops focused on industry-specific software and certifications.
896;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Could the faculty please integrate more diverse viewpoints when analyzing contemporary social issues?;[NAME] aanscherpen? [] are simply not acceptable for urgent support.;The discussions about career paths after graduation were very encouraging and well-directed.
897;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Het is moeilijk om alles bij te houden, de hoeveelheid materiaal is overweldigend.;De uitleg van de docent over de module lijkt niet helemaal [] met de handleiding.;Het is fijn dat de docenten altijd bereikbaar [].
